ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_History,Employment_Status,Education,Property_Area,Age,Loan_Status
19091,5974,159805,120,409,1,Salaried,Graduate,Urban,54,0
11868,9047,364843,120,776,1,Salaried,Graduate,Urban,54,1
7521,8997,357130,180,776,0,Unemployed,Graduate,Urban,33,0
5060,3418,515283,180,701,1,Unemployed,Not Graduate,Rural,43,1
14176,8274,514051,180,853,1,Self_Employed,Graduate,Semiurban,55,1
19525,4054,666389,240,323,1,Self_Employed,Not Graduate,Rural,42,0
15254,4614,536716,180,505,0,Salaried,Graduate,Urban,31,0
16379,9802,168376,360,755,1,Salaried,Graduate,Semiurban,23,1
16127,7595,345213,120,774,1,Self_Employed,Graduate,Rural,31,1
13634,2561,195561,240,710,1,Self_Employed,Not Graduate,Urban,54,1
16615,3529,331024,180,447,0,Salaried,Graduate,Urban,51,0
10122,4272,590406,300,623,1,Unemployed,Graduate,Rural,28,0
11281,6991,159262,240,564,1,Self_Employed,Not Graduate,Rural,49,0
17798,8446,501828,240,346,1,Unemployed,Graduate,Urban,52,0
13872,5531,457045,240,551,1,Self_Employed,Not Graduate,Urban,31,0
5920,9956,571014,240,756,0,Self_Employed,Not Graduate,Rural,27,0
14562,931,583191,120,817,1,Self_Employed,Not Graduate,Urban,56,1
8608,8205,580365,120,698,1,Unemployed,Not Graduate,Urban,44,1
18955,4533,504432,240,461,1,Unemployed,Graduate,Urban,24,0
15824,7494,609645,300,368,1,Self_Employed,Not Graduate,Semiurban,33,0
6751,8970,119535,180,546,1,Unemployed,Not Graduate,Rural,49,0
8512,4217,92699,240,660,1,Unemployed,Graduate,Semiurban,24,1
10896,1323,638779,240,365,1,Unemployed,Graduate,Rural,44,0
15812,4264,540770,180,548,1,Salaried,Not Graduate,Urban,24,0
5418,1268,458683,120,687,1,Unemployed,Not Graduate,Semiurban,43,1
10859,4879,139558,240,661,0,Salaried,Not Graduate,Semiurban,53,0
19568,9230,68164,240,352,0,Salaried,Not Graduate,Semiurban,44,0
12991,8192,115214,240,772,1,Salaried,Graduate,Urban,55,1
16627,5411,447803,240,304,1,Salaried,Not Graduate,Rural,41,0
12459,5729,463057,180,838,1,Salaried,Graduate,Rural,21,1
4457,3470,180620,120,714,1,Unemployed,Graduate,Urban,52,1
5969,1798,322954,300,464,1,Unemployed,Graduate,Urban,37,0
15665,8792,217796,180,819,1,Self_Employed,Graduate,Semiurban,43,1
10252,5123,365065,300,712,0,Self_Employed,Graduate,Urban,49,0
11297,1348,100834,300,408,1,Self_Employed,Graduate,Semiurban,48,0
16005,1125,692217,180,570,1,Unemployed,Graduate,Rural,30,0
7295,7007,510550,120,426,0,Unemployed,Not Graduate,Urban,52,0
19356,1947,416820,120,715,1,Unemployed,Not Graduate,Urban,36,1
8865,4722,50171,120,705,1,Unemployed,Graduate,Urban,58,1
9948,6723,218864,180,402,1,Salaried,Not Graduate,Urban,22,0
5262,7970,443035,180,779,1,Self_Employed,Graduate,Urban,57,1
17721,8617,433191,360,331,1,Self_Employed,Graduate,Rural,36,0
3134,4877,138699,180,584,0,Salaried,Graduate,Urban,44,0
17414,8063,160709,360,317,0,Unemployed,Not Graduate,Semiurban,26,0
2473,9329,459074,300,339,1,Self_Employed,Not Graduate,Semiurban,40,0
11715,362,607084,180,444,1,Salaried,Not Graduate,Semiurban,52,0
12657,6824,131326,360,358,1,Self_Employed,Not Graduate,Rural,22,0
15324,7661,380539,120,301,1,Self_Employed,Not Graduate,Rural,41,0
3918,9162,311421,300,609,1,Unemployed,Graduate,Semiurban,32,0
14343,6950,64090,180,611,1,Unemployed,Not Graduate,Rural,27,0
14742,4419,420547,240,399,0,Unemployed,Not Graduate,Rural,29,0
4955,4751,306855,300,720,1,Unemployed,Graduate,Urban,23,1
8021,7652,361165,300,805,1,Salaried,Graduate,Rural,55,1
10623,746,511645,360,877,0,Salaried,Not Graduate,Urban,36,0
11679,3762,108739,180,660,1,Salaried,Not Graduate,Urban,31,1
15754,6188,641646,360,524,0,Unemployed,Not Graduate,Semiurban,36,0
5805,8532,531643,300,532,1,Self_Employed,Graduate,Urban,59,0
7031,564,531603,120,523,1,Self_Employed,Graduate,Urban,39,0
16541,1945,432318,180,716,1,Salaried,Graduate,Urban,27,1
5682,4268,586415,180,439,1,Unemployed,Not Graduate,Semiurban,54,0
16903,4177,486616,180,536,0,Salaried,Not Graduate,Urban,52,0
14660,8837,572763,120,378,1,Unemployed,Not Graduate,Rural,32,0
16606,711,452964,300,630,1,Unemployed,Not Graduate,Semiurban,48,0
1807,5956,341526,240,746,1,Unemployed,Graduate,Semiurban,44,0
14892,7775,531518,300,461,1,Unemployed,Graduate,Semiurban,31,0
15868,106,477132,120,803,1,Unemployed,Not Graduate,Semiurban,26,1
6802,754,500356,360,318,1,Self_Employed,Graduate,Urban,23,0
2652,1627,522567,360,811,1,Self_Employed,Graduate,Rural,53,0
9967,7659,690369,240,470,1,Unemployed,Graduate,Rural,37,0
6794,937,665430,360,455,0,Self_Employed,Not Graduate,Rural,46,0
15366,4509,498033,120,369,1,Self_Employed,Not Graduate,Semiurban,33,0
15183,4082,425822,240,495,0,Self_Employed,Graduate,Urban,39,0
19092,5484,420484,120,395,1,Self_Employed,Not Graduate,Rural,43,0
3992,4150,362515,180,326,1,Salaried,Not Graduate,Semiurban,31,0
17449,7193,547521,360,796,1,Self_Employed,Graduate,Semiurban,51,1
16122,8721,274094,180,323,1,Unemployed,Graduate,Rural,24,0
15092,2479,72631,300,500,1,Salaried,Not Graduate,Rural,29,0
2270,3134,632062,180,790,0,Unemployed,Graduate,Urban,50,0
17375,8030,684904,360,690,1,Salaried,Graduate,Rural,34,1
9786,4094,446523,300,727,1,Salaried,Graduate,Semiurban,46,1
12990,7120,490736,360,549,1,Salaried,Not Graduate,Rural,47,0
7495,9302,465776,360,531,1,Unemployed,Graduate,Semiurban,45,0
15140,6309,297281,360,541,0,Salaried,Not Graduate,Urban,33,0
4591,1289,549481,120,864,1,Salaried,Graduate,Semiurban,32,1
14395,4748,183961,360,345,1,Self_Employed,Not Graduate,Rural,56,0
5412,1397,596149,300,784,0,Self_Employed,Graduate,Semiurban,59,0
19318,1825,389308,300,763,1,Unemployed,Graduate,Semiurban,23,1
8094,702,654817,240,619,1,Self_Employed,Not Graduate,Urban,30,0
9497,6660,164327,360,486,0,Unemployed,Graduate,Semiurban,29,0
9532,2885,187507,120,747,0,Unemployed,Not Graduate,Rural,31,0
17120,4733,246258,360,723,1,Salaried,Not Graduate,Semiurban,38,1
9631,5196,247061,300,778,1,Salaried,Graduate,Semiurban,38,1
6345,681,499300,180,689,0,Salaried,Graduate,Urban,37,0
12338,7936,315990,360,731,0,Unemployed,Not Graduate,Rural,53,0
5033,1769,399064,120,351,1,Unemployed,Not Graduate,Urban,58,0
4437,7521,165436,300,861,0,Salaried,Graduate,Rural,26,0
6439,2737,410025,360,885,1,Self_Employed,Graduate,Urban,30,1
11244,6555,70551,240,716,1,Salaried,Graduate,Urban,26,1
6521,7462,625866,180,635,1,Self_Employed,Not Graduate,Semiurban,36,0
2634,2155,389397,300,798,0,Self_Employed,Graduate,Semiurban,42,0
17909,4723,411380,240,810,0,Salaried,Graduate,Semiurban,55,0
11180,8170,160695,300,872,1,Salaried,Graduate,Semiurban,59,1
18840,4550,246143,180,795,0,Salaried,Not Graduate,Semiurban,53,0
3413,2982,174310,240,648,0,Salaried,Not Graduate,Semiurban,43,0
14929,6257,113623,240,683,1,Salaried,Not Graduate,Semiurban,30,1
15407,4455,102792,180,774,0,Unemployed,Not Graduate,Semiurban,36,0
4221,40,119725,180,894,0,Salaried,Not Graduate,Semiurban,37,0
11588,4190,488484,180,728,1,Self_Employed,Not Graduate,Semiurban,47,1
18812,7332,64994,300,534,1,Unemployed,Graduate,Rural,40,0
17088,1947,637158,300,735,0,Salaried,Graduate,Semiurban,21,0
7127,696,641317,120,868,0,Salaried,Graduate,Rural,50,0
6946,7295,448894,240,776,1,Salaried,Not Graduate,Rural,23,1
1969,1311,166284,240,564,1,Self_Employed,Not Graduate,Urban,39,0
12027,2864,489760,360,860,1,Self_Employed,Graduate,Rural,42,1
10217,7147,505565,240,483,1,Self_Employed,Not Graduate,Rural,42,0
19747,4483,144748,120,874,0,Salaried,Not Graduate,Urban,26,0
3220,4599,126347,120,779,1,Self_Employed,Not Graduate,Rural,21,0
6772,1703,181085,180,590,1,Self_Employed,Graduate,Urban,28,0
18475,5132,151018,240,599,1,Self_Employed,Not Graduate,Rural,54,0
7685,3531,363421,120,311,1,Unemployed,Graduate,Semiurban,30,0
17412,5752,507657,180,436,0,Unemployed,Not Graduate,Rural,40,0
18091,4466,667978,120,868,0,Unemployed,Not Graduate,Rural,28,0
16615,5039,134567,240,868,1,Unemployed,Not Graduate,Urban,43,1
15947,4409,68011,240,540,1,Self_Employed,Not Graduate,Rural,29,0
11602,2197,520509,180,611,0,Unemployed,Graduate,Urban,21,0
12552,524,699724,240,393,1,Salaried,Not Graduate,Urban,47,0
17241,6127,428965,180,681,1,Unemployed,Not Graduate,Urban,42,1
12718,657,213551,240,436,1,Self_Employed,Not Graduate,Rural,55,0
6603,6567,324898,360,577,0,Self_Employed,Graduate,Semiurban,33,0
3782,8095,652715,180,544,1,Self_Employed,Not Graduate,Urban,30,0
3240,9839,645709,360,793,0,Salaried,Graduate,Urban,40,0
14079,5789,619818,240,693,0,Self_Employed,Not Graduate,Rural,44,0
7346,6583,325735,300,551,1,Unemployed,Not Graduate,Urban,54,0
14810,2497,691933,240,503,1,Salaried,Not Graduate,Semiurban,51,0
16537,9509,390756,300,333,1,Unemployed,Not Graduate,Rural,33,0
4275,8983,516398,240,345,1,Self_Employed,Graduate,Urban,56,0
15428,5005,295027,180,351,0,Self_Employed,Not Graduate,Semiurban,36,0
7856,136,627955,120,627,0,Unemployed,Not Graduate,Rural,53,0
2662,2258,259792,180,531,1,Salaried,Not Graduate,Semiurban,56,0
15506,8603,671855,300,658,1,Self_Employed,Graduate,Rural,40,1
17497,419,212284,240,366,0,Self_Employed,Graduate,Urban,50,0
2123,6494,442990,240,470,0,Unemployed,Graduate,Urban,50,0
10462,972,587773,240,337,0,Self_Employed,Graduate,Semiurban,57,0
2741,2349,202706,120,626,1,Unemployed,Not Graduate,Rural,50,0
12403,3920,92770,120,349,1,Salaried,Graduate,Rural,27,0
5903,7319,468403,180,850,1,Self_Employed,Graduate,Semiurban,41,1
19082,2814,627535,180,681,1,Unemployed,Not Graduate,Rural,39,1
7161,7410,293468,300,637,0,Salaried,Not Graduate,Semiurban,24,0
17439,746,627352,120,680,1,Unemployed,Not Graduate,Semiurban,42,1
12287,968,188620,360,460,1,Salaried,Graduate,Semiurban,30,0
18691,8183,536076,180,347,1,Unemployed,Graduate,Rural,32,0
3621,2512,545715,360,894,1,Salaried,Graduate,Rural,50,0
14085,5066,405209,180,628,0,Unemployed,Not Graduate,Semiurban,33,0
5386,1935,412527,360,874,0,Unemployed,Not Graduate,Rural,37,0
10422,8678,553020,360,511,1,Self_Employed,Graduate,Rural,54,0
16712,6013,512143,180,553,0,Self_Employed,Graduate,Semiurban,47,0
11487,4952,139903,120,392,1,Unemployed,Not Graduate,Urban,47,0
19707,5871,69328,180,412,0,Salaried,Graduate,Semiurban,30,0
16613,2880,99069,120,631,0,Self_Employed,Not Graduate,Semiurban,24,0
14217,7555,485068,240,306,1,Salaried,Not Graduate,Semiurban,37,0
18083,4058,387718,240,636,1,Self_Employed,Not Graduate,Semiurban,22,0
2947,2964,169516,240,720,0,Salaried,Graduate,Urban,53,0
6681,5103,511606,240,325,1,Salaried,Not Graduate,Semiurban,29,0
12081,2494,613236,300,841,1,Unemployed,Not Graduate,Urban,43,1
12542,3096,429937,300,802,1,Self_Employed,Graduate,Urban,48,1
11646,6127,252851,180,426,1,Self_Employed,Graduate,Urban,26,0
6708,297,327609,360,730,1,Self_Employed,Not Graduate,Urban,50,1
7677,6870,441798,300,881,1,Salaried,Graduate,Urban,45,1
16481,9539,234702,300,485,1,Salaried,Not Graduate,Rural,38,0
6363,6094,641662,360,491,0,Self_Employed,Graduate,Urban,56,0
19676,8002,396840,300,884,0,Unemployed,Not Graduate,Urban,32,0
19367,4331,181416,360,624,0,Unemployed,Not Graduate,Rural,50,0
16126,5144,450846,300,589,1,Unemployed,Not Graduate,Semiurban,40,0
9889,3668,427330,240,721,1,Unemployed,Not Graduate,Rural,51,1
2394,5795,563299,360,349,1,Salaried,Graduate,Rural,41,0
16940,3502,463994,240,824,1,Unemployed,Graduate,Rural,37,1
1636,4640,439681,180,301,1,Unemployed,Graduate,Rural,31,0
7773,5674,528458,360,883,1,Unemployed,Not Graduate,Rural,57,1
16127,860,299501,360,648,1,Salaried,Graduate,Semiurban,58,0
15188,6181,547526,120,474,1,Salaried,Graduate,Rural,42,0
4919,228,641569,300,740,0,Salaried,Graduate,Rural,21,0
18052,1079,415047,360,469,0,Unemployed,Not Graduate,Rural,39,0
7504,5994,484254,120,876,1,Unemployed,Not Graduate,Semiurban,40,1
4352,355,316994,120,345,0,Self_Employed,Graduate,Rural,33,0
13964,7233,206114,120,729,0,Salaried,Graduate,Rural,50,0
11253,5349,172879,240,571,0,Salaried,Not Graduate,Rural,21,0
16639,2403,573574,120,851,0,Self_Employed,Graduate,Urban,27,0
4686,7522,337000,360,567,1,Self_Employed,Not Graduate,Urban,40,0
19661,91,490838,180,794,1,Unemployed,Graduate,Urban,30,1
9838,8689,83980,300,750,1,Salaried,Graduate,Semiurban,37,1
16176,2299,202683,240,357,1,Unemployed,Not Graduate,Semiurban,35,0
4062,4970,674268,120,784,0,Unemployed,Graduate,Urban,22,0
6152,6660,406653,120,470,0,Salaried,Graduate,Semiurban,50,0
14673,902,370037,240,410,1,Self_Employed,Not Graduate,Rural,40,0
15134,7427,433433,240,760,1,Salaried,Graduate,Urban,42,1
13105,2727,270416,360,532,1,Salaried,Not Graduate,Rural,45,0
1923,7268,217413,360,691,1,Salaried,Not Graduate,Rural,41,0
2467,6555,319071,180,710,1,Unemployed,Graduate,Rural,50,0
5870,300,87655,360,578,1,Salaried,Graduate,Urban,59,0
10552,6400,655548,360,528,1,Salaried,Not Graduate,Urban,26,0
1933,2781,58145,240,775,1,Salaried,Not Graduate,Urban,38,0
14597,846,233639,240,376,0,Self_Employed,Graduate,Rural,29,0
19313,1152,148784,300,499,1,Unemployed,Graduate,Urban,52,0
13621,3328,524985,240,893,0,Unemployed,Not Graduate,Urban,51,0
15799,6240,592278,240,866,1,Self_Employed,Graduate,Rural,55,1
18213,1908,554823,360,435,0,Self_Employed,Graduate,Rural,42,0
17863,6173,291115,360,482,1,Salaried,Graduate,Semiurban,58,0
5468,7557,270835,240,499,1,Salaried,Graduate,Rural,45,0
2540,2117,652022,240,384,0,Self_Employed,Graduate,Semiurban,55,0
7750,4793,375953,300,861,1,Salaried,Not Graduate,Urban,24,1
9204,9502,392629,120,311,1,Salaried,Not Graduate,Semiurban,32,0
8272,4714,615379,240,772,0,Salaried,Graduate,Rural,52,0
6811,8208,284326,180,424,1,Salaried,Not Graduate,Semiurban,39,0
10911,1929,660994,300,734,0,Unemployed,Not Graduate,Semiurban,47,0
13924,6874,472403,120,710,0,Self_Employed,Graduate,Rural,57,0
10644,9292,91293,360,412,1,Self_Employed,Graduate,Semiurban,42,0
7511,9920,511739,240,856,0,Unemployed,Graduate,Urban,51,0
9852,5351,659310,180,440,0,Self_Employed,Not Graduate,Semiurban,22,0
3695,1782,275035,360,887,1,Unemployed,Not Graduate,Urban,48,0
6180,7600,659433,240,506,1,Salaried,Graduate,Urban,34,0
6740,6100,404032,120,575,1,Unemployed,Graduate,Rural,39,0
11600,6255,374169,240,462,0,Self_Employed,Graduate,Rural,24,0
16668,5708,182604,240,749,1,Unemployed,Not Graduate,Semiurban,43,1
12455,1560,166832,180,843,1,Salaried,Not Graduate,Semiurban,57,1
2232,3845,526132,300,881,1,Salaried,Not Graduate,Rural,54,0
14588,76,107547,360,607,1,Self_Employed,Graduate,Rural,40,0
13546,3627,325640,360,531,1,Self_Employed,Graduate,Semiurban,51,0
11000,9167,466633,240,540,1,Unemployed,Not Graduate,Urban,37,0
8944,9019,182524,180,716,1,Salaried,Not Graduate,Semiurban,36,1
15346,3349,481810,300,422,0,Unemployed,Graduate,Rural,51,0
18479,7652,117680,240,562,1,Self_Employed,Not Graduate,Rural,21,0
2147,7665,654252,360,812,0,Unemployed,Not Graduate,Rural,37,0
13732,6654,687688,240,431,0,Self_Employed,Not Graduate,Semiurban,44,0
18457,6508,506989,120,363,1,Unemployed,Graduate,Urban,37,0
8297,1548,481293,300,807,1,Self_Employed,Not Graduate,Semiurban,33,1
7137,8837,285479,240,725,1,Salaried,Not Graduate,Rural,21,1
12971,1660,399093,180,481,0,Self_Employed,Graduate,Urban,21,0
16299,6741,590001,360,870,1,Unemployed,Not Graduate,Rural,22,1
6759,2863,433229,120,344,1,Salaried,Graduate,Semiurban,48,0
10720,2042,380787,180,398,0,Self_Employed,Not Graduate,Rural,55,0
8067,3846,385594,360,685,1,Unemployed,Graduate,Semiurban,43,1
5944,68,379936,120,403,1,Unemployed,Not Graduate,Semiurban,53,0
2086,5321,458609,360,824,1,Self_Employed,Graduate,Semiurban,32,0
15632,8096,127037,300,376,0,Self_Employed,Not Graduate,Semiurban,28,0
9101,6090,227252,240,317,0,Salaried,Not Graduate,Urban,49,0
12559,4571,143128,360,743,0,Self_Employed,Not Graduate,Urban,53,0
2239,1296,230926,120,725,0,Self_Employed,Graduate,Semiurban,54,0
6910,1762,82281,300,608,0,Self_Employed,Not Graduate,Urban,46,0
17423,7318,399477,240,645,1,Unemployed,Not Graduate,Urban,47,0
17530,5245,662042,300,535,1,Salaried,Graduate,Rural,26,0
18321,1052,133168,180,591,1,Salaried,Not Graduate,Urban,38,0
5398,2673,243219,180,611,1,Unemployed,Not Graduate,Urban,55,0
19731,8142,586191,240,746,1,Self_Employed,Graduate,Semiurban,59,1
11224,7013,445967,180,628,0,Unemployed,Graduate,Rural,25,0
18904,1157,227128,240,470,1,Unemployed,Graduate,Rural,43,0
2441,1602,456093,180,755,1,Self_Employed,Not Graduate,Urban,48,0
13090,5539,439216,180,313,1,Unemployed,Graduate,Urban,21,0
12817,8907,119226,180,692,1,Self_Employed,Not Graduate,Urban,23,1
10508,2637,143189,240,838,1,Unemployed,Not Graduate,Semiurban,23,1
19991,6115,116728,360,383,0,Salaried,Not Graduate,Urban,41,0
16172,7647,624605,360,671,1,Unemployed,Graduate,Urban,40,1
13334,5598,111986,180,714,1,Unemployed,Graduate,Urban,51,1
18829,7429,506064,360,503,1,Unemployed,Not Graduate,Rural,49,0
9893,6235,526727,300,740,1,Self_Employed,Graduate,Urban,53,1
19689,4584,94076,180,349,1,Salaried,Not Graduate,Urban,48,0
16725,3226,259639,300,450,1,Self_Employed,Graduate,Semiurban,52,0
3362,7452,411648,360,734,1,Unemployed,Not Graduate,Rural,57,0
10242,999,178307,240,782,1,Unemployed,Not Graduate,Rural,57,1
5251,2471,218763,120,373,1,Unemployed,Not Graduate,Rural,31,0
11364,105,615777,240,599,1,Self_Employed,Graduate,Rural,55,0
19924,6831,676400,240,318,0,Self_Employed,Not Graduate,Semiurban,49,0
2403,4473,526586,360,864,1,Unemployed,Not Graduate,Urban,33,0
16852,5558,398870,240,408,1,Unemployed,Graduate,Semiurban,31,0
15797,2432,561186,360,817,0,Unemployed,Not Graduate,Rural,29,0
7396,8459,525937,120,838,1,Unemployed,Graduate,Urban,23,1
13503,8371,266115,360,571,1,Salaried,Not Graduate,Urban,51,0
9442,611,623253,300,715,1,Self_Employed,Not Graduate,Urban,32,1
11171,964,319516,360,311,1,Unemployed,Not Graduate,Urban,38,0
7093,7962,449263,300,302,0,Salaried,Graduate,Urban,42,0
17822,6641,234579,240,483,1,Salaried,Graduate,Semiurban,59,0
8526,8924,575032,240,470,1,Salaried,Not Graduate,Semiurban,37,0
5321,5008,571442,300,506,1,Salaried,Not Graduate,Urban,39,0
9972,9286,663802,240,758,1,Self_Employed,Graduate,Semiurban,58,1
2528,1026,125614,180,706,1,Self_Employed,Not Graduate,Urban,45,0
4160,2273,208342,120,355,1,Self_Employed,Not Graduate,Urban,30,0
3853,9638,557908,360,763,1,Unemployed,Not Graduate,Rural,58,0
9234,2628,202196,120,623,0,Unemployed,Graduate,Urban,42,0
12437,1886,255375,240,407,0,Self_Employed,Not Graduate,Urban,40,0
14195,7428,57616,120,780,1,Self_Employed,Not Graduate,Semiurban,21,1
2553,2383,55462,180,686,1,Unemployed,Not Graduate,Urban,33,0
5393,5247,88878,180,666,1,Self_Employed,Graduate,Urban,48,1
4179,4373,112951,360,421,1,Self_Employed,Not Graduate,Semiurban,56,0
12687,3961,573165,240,602,1,Self_Employed,Not Graduate,Rural,29,0
6450,9318,480870,240,379,0,Self_Employed,Graduate,Rural,33,0
4165,2050,674727,180,735,1,Unemployed,Not Graduate,Rural,33,1
8338,701,162758,300,756,1,Salaried,Graduate,Rural,43,1
5468,6318,129672,120,519,1,Salaried,Graduate,Rural,54,0
2351,5230,327461,180,364,0,Salaried,Graduate,Urban,33,0
6528,2336,690012,120,343,0,Salaried,Not Graduate,Semiurban,27,0
8652,8423,342816,360,336,1,Unemployed,Graduate,Semiurban,42,0
10269,3773,284188,180,615,1,Unemployed,Graduate,Rural,33,0
2304,8577,515017,360,392,0,Self_Employed,Graduate,Semiurban,42,0
6944,3929,454089,300,598,0,Unemployed,Not Graduate,Semiurban,33,0
17996,264,147315,300,727,1,Salaried,Not Graduate,Rural,37,1
3467,5679,61904,240,534,0,Salaried,Graduate,Urban,50,0
18534,1024,693583,360,511,1,Salaried,Not Graduate,Rural,50,0
5833,163,151989,180,398,1,Self_Employed,Graduate,Semiurban,22,0
2884,7194,666850,120,590,1,Self_Employed,Graduate,Urban,55,0
14778,5310,524634,120,524,0,Unemployed,Not Graduate,Semiurban,49,0
15367,5999,408124,360,875,1,Salaried,Graduate,Rural,58,1
1563,2996,668761,180,430,1,Self_Employed,Not Graduate,Rural,39,0
5499,9878,680182,240,427,0,Unemployed,Not Graduate,Rural,49,0
5488,6815,291391,300,881,0,Unemployed,Graduate,Semiurban,37,0
14391,3713,167990,300,869,0,Salaried,Graduate,Semiurban,57,0
15231,2307,256321,240,504,1,Unemployed,Not Graduate,Semiurban,30,0
3887,259,312246,180,429,0,Self_Employed,Graduate,Semiurban,46,0
4941,9570,251046,120,651,0,Self_Employed,Not Graduate,Urban,54,0
9510,5236,91022,120,890,1,Self_Employed,Not Graduate,Rural,45,1
15037,8356,225116,120,351,0,Salaried,Graduate,Semiurban,44,0
19847,6570,317842,180,779,0,Salaried,Not Graduate,Semiurban,22,0
7263,5353,672651,180,674,1,Self_Employed,Graduate,Urban,29,1
8896,2181,679784,360,843,0,Unemployed,Graduate,Rural,41,0
5398,9215,291373,360,771,1,Unemployed,Graduate,Rural,51,1
16205,8886,297260,240,860,0,Salaried,Not Graduate,Urban,48,0
18176,3331,352212,240,861,1,Salaried,Graduate,Rural,48,1
15970,670,389912,120,527,1,Unemployed,Not Graduate,Urban,33,0
6846,1241,246807,180,350,1,Salaried,Not Graduate,Rural,54,0
6276,652,648600,360,332,1,Salaried,Not Graduate,Urban,30,0
15229,7684,212704,120,620,1,Unemployed,Graduate,Rural,47,0
5622,4300,321958,360,657,1,Salaried,Graduate,Rural,27,1
2236,4810,355023,180,576,0,Self_Employed,Not Graduate,Semiurban,35,0
5961,427,527460,180,681,0,Salaried,Not Graduate,Rural,44,0
19855,4334,518528,240,753,1,Salaried,Not Graduate,Rural,30,1
12965,2803,453031,180,724,1,Unemployed,Graduate,Semiurban,23,1
15249,8235,179346,180,668,1,Self_Employed,Not Graduate,Rural,57,1
9889,9990,350592,120,680,1,Unemployed,Not Graduate,Urban,57,1
14717,711,175080,180,419,1,Salaried,Not Graduate,Semiurban,59,0
3171,8755,207337,300,574,0,Self_Employed,Graduate,Urban,40,0
2106,674,686805,120,771,1,Unemployed,Not Graduate,Rural,49,0
14034,8978,134502,240,369,0,Salaried,Graduate,Semiurban,39,0
19615,2,304262,120,606,1,Salaried,Graduate,Rural,41,0
17335,7846,88045,120,576,1,Unemployed,Graduate,Rural,23,0
9288,3340,60380,180,808,0,Self_Employed,Graduate,Rural,21,0
7746,1600,564348,120,364,1,Self_Employed,Graduate,Urban,47,0
6843,4990,589450,360,729,1,Salaried,Graduate,Urban,49,1
3804,764,529551,300,307,1,Self_Employed,Graduate,Semiurban,50,0
13409,1795,657150,360,892,1,Salaried,Not Graduate,Urban,23,1
4919,2010,292251,240,637,1,Self_Employed,Not Graduate,Urban,32,0
2631,4227,97454,300,483,1,Salaried,Graduate,Semiurban,47,0
15781,9446,624574,180,591,1,Salaried,Graduate,Semiurban,21,0
19887,3718,306760,300,463,0,Salaried,Graduate,Rural,51,0
11713,6548,190555,180,323,1,Salaried,Graduate,Rural,37,0
